[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[CANGAGUA 1],CANGAGUA 1,4973
[DIVADM].[NAM_SUBCIR].&[CANOA 1],CANOA 1,3589
[DIVADM].[NAM_SUBCIR].&[CANUTO 1],CANUTO 1,1790
[DIVADM].[NAM_SUBCIR].&[CAÑAR 1],CAÑAR 1,18128
[DIVADM].[NAM_SUBCIR].&[CAÑAR OCCIDENTE 1],CAÑAR OCCIDENTE 1,3314
[DIVADM].[NAM_SUBCIR].&[CAÑAR OCCIDENTE 2],CAÑAR OCCIDENTE 2,748
[DIVADM].[NAM_SUBCIR].&[CAÑARIBAMBA 1],CAÑARIBAMBA 1,23138
[DIVADM].[NAM_SUBCIR].&[CAPIRO 1],CAPIRO 1,772
[DIVADM].[NAM_SUBCIR].&[CARACOL 1],CARACOL 1,5820
[DIVADM].[NAM_SUBCIR].&[CARANQUIS 1],CARANQUIS 1,9118
[DIVADM].[NAM_SUBCIR].&[CARANQUIS 2],CARANQUIS 2,24098
[DIVADM].[NAM_SUBCIR].&[CARAPUNGO 1],CARAPUNGO 1,16691
[DIVADM].[NAM_SUBCIR].&[CARAPUNGO 2],CARAPUNGO 2,5387
[DIVADM].[NAM_SUBCIR].&[CARAPUNGO 3],CARAPUNGO 3,15502
[DIVADM].[NAM_SUBCIR].&[CARCELEN 1],CARCELEN 1,49269
[DIVADM].[NAM_SUBCIR].&[CARCELEN 2],CARCELEN 2,10875
[DIVADM].[NAM_SUBCIR].&[CARCELEN 3],CARCELEN 3,1727
[DIVADM].[NAM_SUBCIR].&[CARCELEN 4],CARCELEN 4,11090
[DIVADM].[NAM_SUBCIR].&[CARCELEN 5],CARCELEN 5,22690
[DIVADM].[NAM_SUBCIR].&[CARIAMANGA ESTE 1],CARIAMANGA ESTE 1,9143
[DIVADM].[NAM_SUBCIR].&[CARIAMANGA OESTE 1],CARIAMANGA OESTE 1,11038
[DIVADM].[NAM_SUBCIR].&[CARLOS JULIO AROSEMENA 1],CARLOS JULIO AROSEMENA 1,5465
[DIVADM].[NAM_SUBCIR].&[CARMEN DE PIJILI 1],CARMEN DE PIJILI 1,460
[DIVADM].[NAM_SUBCIR].&[CARONDELET 1],CARONDELET 1,596
[DIVADM].[NAM_SUBCIR].&[CARONDELET 2],CARONDELET 2,1833
[DIVADM].[NAM_SUBCIR].&[CASACAY 1],CASACAY 1,3726
[DIVADM].[NAM_SUBCIR].&[CASCALES 1],CASCALES 1,10538
[DIVADM].[NAM_SUBCIR].&[CASCALES 2],CASCALES 2,2681
[DIVADM].[NAM_SUBCIR].&[CASCOL 1],CASCOL 1,3747
[DIVADM].[NAM_SUBCIR].&[CATACOCHA 1],CATACOCHA 1,9223
[DIVADM].[NAM_SUBCIR].&[CATAMAYO NORTE 1],CATAMAYO NORTE 1,19067
[DIVADM].[NAM_SUBCIR].&[CATAMAYO NORTE 2],CATAMAYO NORTE 2,4715
[DIVADM].[NAM_SUBCIR].&[CATAMAYO SAN JOSE 1],CATAMAYO SAN JOSE 1,22073
[DIVADM].[NAM_SUBCIR].&[CATARAMA 1],CATARAMA 1,9387
[DIVADM].[NAM_SUBCIR].&[CAYAMBE 1],CAYAMBE 1,18391
[DIVADM].[NAM_SUBCIR].&[CAYAMBE 2],CAYAMBE 2,13412
[DIVADM].[NAM_SUBCIR].&[CAYAMBE 3],CAYAMBE 3,27018
[DIVADM].[NAM_SUBCIR].&[CAYAMBE NORTE 1],CAYAMBE NORTE 1,20266
[DIVADM].[NAM_SUBCIR].&[CAYAMBE NORTE 2],CAYAMBE NORTE 2,7023
[DIVADM].[NAM_SUBCIR].&[CAYAMBE NORTE 3],CAYAMBE NORTE 3,4141
[DIVADM].[NAM_SUBCIR].&[CAYAMBE SUR 1],CAYAMBE SUR 1,7926
[DIVADM].[NAM_SUBCIR].&[CAYAMBE SUR 2],CAYAMBE SUR 2,28006
[DIVADM].[NAM_SUBCIR].&[CAZADEROS 1],CAZADEROS 1,155
[DIVADM].[NAM_SUBCIR].&[CEBADAS 1],CEBADAS 1,2864
[DIVADM].[NAM_SUBCIR].&[CELI ROMAN 1],CELI ROMAN 1,38907
[DIVADM].[NAM_SUBCIR].&[CELICA 1],CELICA 1,9647
[DIVADM].[NAM_SUBCIR].&[CENTENARIO 1],CENTENARIO 1,22769
[DIVADM].[NAM_SUBCIR].&[CENTENARIO 2],CENTENARIO 2,12488
[DIVADM].[NAM_SUBCIR].&[CENTENARIO 3],CENTENARIO 3,18299
[DIVADM].[NAM_SUBCIR].&[CENTENARIO 4],CENTENARIO 4,18192
[DIVADM].[NAM_SUBCIR].&[CENTENARIO 5],CENTENARIO 5,17704
[DIVADM].[NAM_SUBCIR].&[CENTRO 1],CENTRO 1,156072
[DIVADM].[NAM_SUBCIR].&[CENTRO 2],CENTRO 2,159280
[DIVADM].[NAM_SUBCIR].&[CENTRO 3],CENTRO 3,63469
