[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID_1].&[419],419,993
[DIVADM].[OBJECTID_1].&[420],420,860
[DIVADM].[OBJECTID_1].&[421],421,185
[DIVADM].[OBJECTID_1].&[422],422,440
[DIVADM].[OBJECTID_1].&[423],423,727
[DIVADM].[OBJECTID_1].&[424],424,4483
[DIVADM].[OBJECTID_1].&[425],425,827
[DIVADM].[OBJECTID_1].&[426],426,1846
[DIVADM].[OBJECTID_1].&[427],427,1266
[DIVADM].[OBJECTID_1].&[428],428,2635
[DIVADM].[OBJECTID_1].&[429],429,13321
[DIVADM].[OBJECTID_1].&[430],430,5448
[DIVADM].[OBJECTID_1].&[431],431,3044
[DIVADM].[OBJECTID_1].&[432],432,1847
[DIVADM].[OBJECTID_1].&[433],433,387
[DIVADM].[OBJECTID_1].&[434],434,1363
[DIVADM].[OBJECTID_1].&[435],435,12601
[DIVADM].[OBJECTID_1].&[436],436,9216
[DIVADM].[OBJECTID_1].&[437],437,423
[DIVADM].[OBJECTID_1].&[438],438,1306
[DIVADM].[OBJECTID_1].&[439],439,337
[DIVADM].[OBJECTID_1].&[440],440,4506
[DIVADM].[OBJECTID_1].&[441],441,3992
[DIVADM].[OBJECTID_1].&[442],442,7455
[DIVADM].[OBJECTID_1].&[443],443,7931
[DIVADM].[OBJECTID_1].&[444],444,10251
[DIVADM].[OBJECTID_1].&[445],445,32362
[DIVADM].[OBJECTID_1].&[446],446,9473
[DIVADM].[OBJECTID_1].&[447],447,304
[DIVADM].[OBJECTID_1].&[448],448,1597
[DIVADM].[OBJECTID_1].&[449],449,583
[DIVADM].[OBJECTID_1].&[450],450,2028
[DIVADM].[OBJECTID_1].&[451],451,1790
[DIVADM].[OBJECTID_1].&[452],452,2244
[DIVADM].[OBJECTID_1].&[453],453,954
[DIVADM].[OBJECTID_1].&[454],454,5780
[DIVADM].[OBJECTID_1].&[455],455,1603
[DIVADM].[OBJECTID_1].&[456],456,834
[DIVADM].[OBJECTID_1].&[457],457,127
[DIVADM].[OBJECTID_1].&[458],458,977
[DIVADM].[OBJECTID_1].&[459],459,318
[DIVADM].[OBJECTID_1].&[460],460,439
[DIVADM].[OBJECTID_1].&[461],461,4357
[DIVADM].[OBJECTID_1].&[462],462,1085
[DIVADM].[OBJECTID_1].&[463],463,410
[DIVADM].[OBJECTID_1].&[464],464,46
[DIVADM].[OBJECTID_1].&[465],465,6590
[DIVADM].[OBJECTID_1].&[466],466,772
[DIVADM].[OBJECTID_1].&[467],467,446
[DIVADM].[OBJECTID_1].&[468],468,579
[DIVADM].[OBJECTID_1].&[469],469,1227
[DIVADM].[OBJECTID_1].&[470],470,3747
[DIVADM].[OBJECTID_1].&[471],471,576
[DIVADM].[OBJECTID_1].&[472],472,4897
[DIVADM].[OBJECTID_1].&[473],473,541
[DIVADM].[OBJECTID_1].&[474],474,17396
[DIVADM].[OBJECTID_1].&[475],475,1939
[DIVADM].[OBJECTID_1].&[476],476,10241
[DIVADM].[OBJECTID_1].&[477],477,1860
[DIVADM].[OBJECTID_1].&[478],478,4389
[DIVADM].[OBJECTID_1].&[479],479,48444
[DIVADM].[OBJECTID_1].&[480],480,24032
[DIVADM].[OBJECTID_1].&[481],481,14012
[DIVADM].[OBJECTID_1].&[482],482,30970
[DIVADM].[OBJECTID_1].&[483],483,19004
[DIVADM].[OBJECTID_1].&[484],484,5403
[DIVADM].[OBJECTID_1].&[485],485,2360
[DIVADM].[OBJECTID_1].&[486],486,15704
[DIVADM].[OBJECTID_1].&[487],487,11974
[DIVADM].[OBJECTID_1].&[488],488,16183
[DIVADM].[OBJECTID_1].&[489],489,2647
[DIVADM].[OBJECTID_1].&[490],490,2383
[DIVADM].[OBJECTID_1].&[491],491,7347
[DIVADM].[OBJECTID_1].&[492],492,5407
[DIVADM].[OBJECTID_1].&[493],493,12715
[DIVADM].[OBJECTID_1].&[494],494,7803
[DIVADM].[OBJECTID_1].&[495],495,29744
[DIVADM].[OBJECTID_1].&[496],496,15340
[DIVADM].[OBJECTID_1].&[497],497,58724
[DIVADM].[OBJECTID_1].&[498],498,17610
[DIVADM].[OBJECTID_1].&[499],499,5551
[DIVADM].[OBJECTID_1].&[500],500,133
[DIVADM].[OBJECTID_1].&[501],501,10923
[DIVADM].[OBJECTID_1].&[502],502,8309
[DIVADM].[OBJECTID_1].&[503],503,6241
[DIVADM].[OBJECTID_1].&[504],504,1047
[DIVADM].[OBJECTID_1].&[505],505,7704
[DIVADM].[OBJECTID_1].&[506],506,2751
[DIVADM].[OBJECTID_1].&[507],507,23138
[DIVADM].[OBJECTID_1].&[508],508,35340
[DIVADM].[OBJECTID_1].&[509],509,18249
[DIVADM].[OBJECTID_1].&[510],510,23946
[DIVADM].[OBJECTID_1].&[511],511,15082
[DIVADM].[OBJECTID_1].&[512],512,60972
[DIVADM].[OBJECTID_1].&[513],513,61572
[DIVADM].[OBJECTID_1].&[514],514,34037
