[DIVADM].[AREAKM].[AREAKM].[MEMBER_UNIQUE_NAME],[DIVADM].[AREAKM].[AREAKM].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[AREAKM].&[9.5994902E-1],"0,95994902",10071
[DIVADM].[AREAKM].&[9.6005398E-1],"0,96005398",33721
[DIVADM].[AREAKM].&[9.6072102E-1],"0,96072102",17563
[DIVADM].[AREAKM].&[9.6268803E-1],"0,96268803",51024
[DIVADM].[AREAKM].&[9.6595502E-1],"0,96595502",14326
[DIVADM].[AREAKM].&[9.6667802E-1],"0,96667802",34530
[DIVADM].[AREAKM].&[9.6964997E-1],"0,96964997",25100
[DIVADM].[AREAKM].&[9.7730303E-1],"0,97730303",27826
[DIVADM].[AREAKM].&[9.7798699E-1],"0,97798699",7899
[DIVADM].[AREAKM].&[9.7813398E-1],"0,97813398",12163
[DIVADM].[AREAKM].&[9.7992599E-1],"0,97992599",14106
[DIVADM].[AREAKM].&[9.8038298E-1],"0,98038298",13387
[DIVADM].[AREAKM].&[9.8282599E-1],"0,98282599",28191
[DIVADM].[AREAKM].&[9.8292297E-1],"0,98292297",16428
[DIVADM].[AREAKM].&[9.8468399E-1],"0,98468399",21257
[DIVADM].[AREAKM].&[9.8551899E-1],"0,98551899",32359
[DIVADM].[AREAKM].&[9.8971498E-1],"0,98971498",37074
[DIVADM].[AREAKM].&[9.8972899E-1],"0,98972899",9710
[DIVADM].[AREAKM].&[9.90825E-1],"0,990825",5872
[DIVADM].[AREAKM].&[9.95462E-1],"0,995462",18181
[DIVADM].[AREAKM].&[9.9746901E-1],"0,99746901",6374
[DIVADM].[AREAKM].&[9.9929303E-1],"0,99929303",14359
[DIVADM].[AREAKM].&[1.00168002],"1,00168002",9878
[DIVADM].[AREAKM].&[1.00179005],"1,00179005",12591
[DIVADM].[AREAKM].&[1.00248003],"1,00248003",18084
[DIVADM].[AREAKM].&[1.00267005],"1,00267005",27407
[DIVADM].[AREAKM].&[1.00354004],"1,00354004",28041
[DIVADM].[AREAKM].&[1.00658],"1,00658",11595
[DIVADM].[AREAKM].&[1.00951004],"1,00951004",24271
[DIVADM].[AREAKM].&[1.01178002],"1,01178002",29797
[DIVADM].[AREAKM].&[1.01249003],"1,01249003",18192
[DIVADM].[AREAKM].&[1.01530004],"1,01530004",30335
[DIVADM].[AREAKM].&[1.01835001],"1,01835001",12486
[DIVADM].[AREAKM].&[1.01917005],"1,01917005",13104
[DIVADM].[AREAKM].&[1.02355003],"1,02355003",11413
[DIVADM].[AREAKM].&[1.02672005],"1,02672005",14236
[DIVADM].[AREAKM].&[1.03243995],"1,03243995",22511
[DIVADM].[AREAKM].&[1.03474998],"1,03474998",23276
[DIVADM].[AREAKM].&[1.0359],"1,0359",34053
[DIVADM].[AREAKM].&[1.04049003],"1,04049003",8896
[DIVADM].[AREAKM].&[1.04229999],"1,04229999",14308
[DIVADM].[AREAKM].&[1.04231],"1,04231",38907
[DIVADM].[AREAKM].&[1.04355001],"1,04355001",23949
[DIVADM].[AREAKM].&[1.05480003],"1,05480003",17187
[DIVADM].[AREAKM].&[1.05718005],"1,05718005",2331
[DIVADM].[AREAKM].&[1.06544995],"1,06544995",23946
[DIVADM].[AREAKM].&[1.07061994],"1,07061994",18645
[DIVADM].[AREAKM].&[1.08811998],"1,08811998",6719
[DIVADM].[AREAKM].&[1.08853996],"1,08853996",7030
